start_time,end_time,wav_file,emotion,V,A,D,speaker,transcriptions
170.45,176.26,Ses05M_impro08_M021,neu,3.5,3.5,3.0,Ses05M,"Of course.  we seriously- Yeah, I mean, obviously you've worked- you know -- I don't want to hassle you anymore."
52.91,57.0,Ses04M_impro04_M004,neu,2.6667,3.0,2.6667,Ses04M,"there's just like no jobs available.  I mean, it's just like, God."
163.12,170.17,Ses05M_impro08_M020,neu,3.0,3.5,3.0,Ses05M,"Well, if it does happen again, let me give you my direct number and you can call me.  Actually, I'll give you my cell number. Um- It's --"
83.83,92.7,Ses05M_impro02_M013,sad,1.6667,3.6667,2.3333,Ses05M,I don't have -- I know.  What are we gonna- What are we- just run away?  What can I do?  Where can we go?
188.99,192.4,Ses05F_impro08_M025,hap,4.0,3.5,2.5,Ses05M,"That would be wonderful, that would be great seriously."
85.84,89.14,Ses01M_impro02_F009,sad,2.5,2.5,2.5,Ses01F,I don't even know what to tell you.
17.02,19.1226,Ses04M_impro06_M000,sad,2.5,2.0,2.0,Ses04M,Thanks.
81.54,82.79,Ses03M_impro04_F008,sad,3.0,2.0,1.5,Ses03F,Yeah.
6.6,8.66,Ses01F_impro03_M001,neu,4.3333,2.6667,2.3333,Ses01M,Yeah.  I heard.
63.81,67.88,Ses05M_impro05_F010,neu,3.0,1.6667,2.6667,Ses05F,"No, you have to buy it now.  It's like thirty dollar extra."
197.68,199.64,Ses04M_impro07_M029,neu,3.0,2.5,3.5,Ses04M,I'll go to basketball games.
100.2715,104.9224,Ses02M_impro05_F012,neu,2.5,3.0,3.0,Ses02F,"Sometimes it gets stolen, sometimes it gets misplaced on another plane and"
208.1118,212.0,Ses05F_impro05_F023,ang,2.0,4.0,4.0,Ses05F,And that you're going to transport them safely from one place to another.
3.6132,6.17,Ses05F_impro01_F000,neu,4.0,2.5,3.0,Ses05F,"Hi, I need an ID."
120.07,130.0,Ses05F_impro08_F017,neu,3.0,2.5,2.5,Ses05F,"Okay, I do see that on here, and it says that um, it had some trouble clearing for some reason.  And I think that was the problem on our end.  So um-"
67.1,72.19,Ses03M_impro05a_M013,ang,2.0,4.0,4.5,Ses03M,It's my mother's funeral tomorrow and the urn is in the suitcase.
49.92,52.31,Ses01M_impro05_F012,neu,3.0,3.5,3.5,Ses01F,so you flew in from Atlanta...
188.5,189.53,Ses05F_impro08_F025,neu,3.0,2.5,2.5,Ses05F,yeah.
42.08,45.59,Ses03M_impro08b_M003,neu,3.0,2.5,3.0,Ses03M,Alright Ms. Brown what's the nature of your problem?
47.37,52.94,Ses05M_impro05_M009,neu,2.6667,3.6667,3.0,Ses05M,"You know, this is actually, I mean it's -- it's a really important piece of luggage."
131.06,137.74,Ses01M_impro02_M017,sad,3.0,2.0,3.0,Ses01M,I know I have a good... I have a really good group of guys with me.
239.1062,242.6985,Ses01M_impro06_F028,neu,3.0,2.0,2.5,Ses01F,Are there things you wish you'd done differently?
110.04,118.68,Ses03M_impro05b_F016,neu,3.0,3.5,2.5,Ses03F,"Okay.  So if you can just give me your name, your name and your address and your phone number I can contact you as soon as we find out more information."
117.4822,118.2464,Ses02M_impro06_F007,sad,2.5,1.0,2.0,Ses02F,Yeah
37.7175,40.47,Ses01F_impro03_M007,hap,4.0,3.0,2.3333,Ses01M,[LAUGHTER] That's really romantic.
204.8979,208.8892,Ses03M_impro06_M028,sad,2.5,3.0,3.5,Ses03M,Working for corporate America?  Wow.
29.6894,33.1543,Ses03F_impro05_F002,ang,2.0,5.0,3.5,Ses03F,"Where? I don't know. The lost and found. What do you mean, lost and found?"
34.94,37.05,Ses03M_impro05a_M006,ang,1.5,4.0,4.5,Ses03M,You don't know where we're at?
46.41,61.99,Ses01M_impro06_M006,sad,1.5,2.5,3.5,Ses01M,"And I've kind of been dealing with all of the...the stuff, you know the hospital and people work because..."
116.163,120.5591,Ses02F_impro08_M010,neu,3.0,4.0,3.5,Ses02M,"--you know, the kids wanna go to the beach and stuff and so--um"
26.59,28.33,Ses05M_impro07_F008,hap,4.0,2.5,2.5,Ses05F,That's awesome.
155.57,157.29,Ses01M_impro05_F029,neu,2.5,2.5,2.5,Ses01F,That's too bad.
100.59,112.72,Ses05F_impro05_M014,neu,3.0,3.0,3.5,Ses05M,"All right?  Now, um- it's green, travel bag, you couldn't find it.  And was there something important in it that you need it?"
192.4325,194.11,Ses05F_impro08_M026,hap,3.5,3.0,2.0,Ses05M,"thank you, what's the number?"
36.11,40.0,Ses01M_impro06_M004,sad,2.0,3.0,3.5,Ses01M,God I've told this story so many times. Umm.
100.1566,102.0586,Ses02M_impro08_M010,neu,3.0,3.0,3.0,Ses02M,it- it'll work out fine.
362.7,367.6,Ses04F_impro07_M079,neu,3.5,3.0,3.5,Ses04M,"I hate to break this to you but you meet people by being cool, so-"
191.79,195.42,Ses04F_impro03_M034,neu,3.5,2.5,3.5,Ses04M,"Fried chicken, mashed potatoes."
26.91,28.71,Ses01F_impro04_M003,neu,3.0,2.5,2.5,Ses01M,Uh huh.
193.34,197.83,Ses05F_impro04_M017,neu,3.0,3.0,3.0,Ses05M,"Well, you know I'm not going to let you starve."
178.7739,181.4226,Ses02M_impro02_F014,sad,3.0,2.0,3.0,Ses02F,I'll miss you too.
91.0602,95.6349,Ses03M_impro08a_M008,neu,3.0,2.0,3.0,Ses03M,No.  Okay.  We're not charging you for any of these months.  We're going to give you three months free.
24.93,29.75,Ses03F_impro08_F003,neu,2.5,2.5,3.5,Ses03F,"Sir, please calm down.  There's no reason to use profanity like that.  It's not-"
10.370999999999999,11.6114,Ses02M_impro01_F001,neu,3.5,2.5,2.5,Ses02F,"Sure, um"
248.29,252.8,Ses05F_impro03_F055,hap,5.0,4.5,4.0,Ses05F,[LAUGHTER] Good luck.
389.8,391.11,Ses05F_impro04_F043,neu,3.0,3.5,3.0,Ses05F,yeah.
96.14,103.26,Ses05M_impro08_F011,neu,3.0,4.0,3.0,Ses05F,"Well, I- I can check that.  Is there anything else we can do, too?  Like, I'll go through and check the line throughout the house, but --"
173.6388,178.3072,Ses02M_impro06_F012,sad,3.0,2.0,3.5,Ses02F,Even if you still do she'll- she'll be there.
12.19,13.21,Ses03F_impro02_F001,neu,3.5,2.0,1.0,Ses03F,Yeah?
117.85,120.8,Ses01M_impro06_F013,neu,2.5,3.0,3.0,Ses01F,"Totally, yeah."
208.2,212.2955,Ses02M_impro08_M030,neu,3.3333,2.6667,2.6667,Ses02M,you know it gets- it gets difficult you know so Alright.
15.0537,16.7835,Ses03F_impro07_M003,neu,4.0,2.5,2.5,Ses03M,You're not pregnant or anything.
177.1044,179.2704,Ses03M_impro06_F014,sad,2.0,2.5,3.0,Ses03F,Yeah.
180.5347,182.2754,Ses03F_impro07_M033,neu,4.0,2.5,2.5,Ses03M,"Well, get used to it."
149.32,156.26,Ses04F_impro02_M012,sad,1.5,2.0,2.5,Ses04M,I mean we can't-we're not a complete family without you here.
11.48,16.5042,Ses02M_impro05_M002,neu,3.0,3.5,3.0,Ses02M,"Yes, yes, it's gone around like you know twenty times. It's been about a half hour."
49.0336,50.63,Ses04M_impro06_M003,sad,2.5,1.5,1.5,Ses04M,Yeah.
70.82,76.17,Ses02F_impro06_M008,neu,2.6667,1.6667,2.0,Ses02M,I mean--I don't know.
123.95,128.74,Ses05F_impro06_F016,sad,1.5,2.0,3.0,Ses05F,I can't imagine what his- what his parents are going through.
151.89,154.82,Ses05F_impro08_M020,neu,3.0,2.0,1.5,Ses05M,Are you taking the late fee off of my account then?
7.17,11.72,Ses03M_impro05a_M000,ang,2.0,4.0,4.5,Ses03M,Yes you can help me.  Where is my luggage?
289.17,291.1846,Ses04M_impro06_F017,sad,2.5,2.0,1.5,Ses04F,I know.
158.05,159.89,Ses05F_impro06_M019,neu,3.0,2.0,2.5,Ses05M,No problem.
59.7475,62.15,Ses03M_impro05b_F009,neu,3.0,3.5,2.5,Ses03F,"Like the luggage, the luggage on the flight."
10.32,13.05,Ses05M_impro05_M001,neu,3.0,2.3333,2.3333,Ses05M,"So, um, what do I do?"
30.89,32.26,Ses05F_impro05_F004,neu,2.5,2.5,2.5,Ses05F,Right.
97.5846,100.3874,Ses03M_impro01_M017,ang,4.0,3.0,3.5,Ses03M,Yes I will.  I'll have this [GARBAGE]
23.9,26.15,Ses03M_impro05b_F003,neu,3.0,2.0,3.0,Ses03F,Okay.  Let's look up here
18.22,20.075,Ses03F_impro01_F002,neu,2.6667,2.3333,2.3333,Ses03F,What's wrong?
79.57,82.0655,Ses03M_impro03_M012,hap,4.0,3.5,3.5,Ses03M,Sara and I--
188.85,191.06,Ses03M_impro08b_M020,neu,3.0,2.5,3.0,Ses03M,and battling through with us.
6.17,8.24,Ses04M_impro05_F000,neu,4.0,2.0,2.5,Ses04F,"Hi, how can I help you?"
147.03,151.7101,Ses01F_impro02_M012,neu,2.5,2.0,2.0,Ses01M,Don't you guys have access to computers over there.
163.25,166.99,Ses01F_impro05_M028,neu,2.5,2.5,2.0,Ses01M,"Um, actually, I don't know. I don't know. Oh really?"
190.395,193.3989,Ses03M_impro03_M030,hap,3.0,2.5,3.5,Ses03M,"You got to meet her, she's wonderful."
202.2,205.9,Ses04M_impro04_M022,neu,4.0,2.0,2.6667,Ses04M,Yours.  I don't--
65.7,75.57,Ses05M_impro06_M006,sad,2.0,3.5,2.5,Ses05M,"He was a designer, you know.  But he did everything. You know, He painted and he- and he did costume design, he did set design, he did lighting, he was --"
64.77,75.67,Ses03M_impro08b_M005,neu,3.0,3.0,4.0,Ses03M,"Um- well it's probably easy.  Can you any more symptoms either you're not receiving calls----ok, you're not receiving calls, not getting calls."
77.75,81.2389,Ses02M_impro07_F014,hap,4.0,4.5,3.5,Ses02F,No but that's an awesome school. That's so cool.
99.015,100.88,Ses03F_impro02_F015,sad,2.5,2.0,1.5,Ses03F,"Yeah, and uh--"
9.283999999999999,11.0248,Ses03F_impro07_M001,neu,4.0,2.0,2.0,Ses03M,I'm all right.
11.55,13.33,Ses05M_impro05_F001,neu,3.0,2.6667,1.6667,Ses05F,How long ago was that?
143.52,149.35,Ses01M_impro05_M022,ang,1.5,4.0,4.5,Ses01M,My computer which has all of my data which I'm collecting right now.
13.5804,16.6469,Ses03M_impro06_M000,sad,3.0,2.0,2.5,Ses03M,I ah--
230.1155,232.8746,Ses03F_impro06_F035,sad,1.5,1.5,3.5,Ses03F,I loved him so much.
79.2956,82.6661,Ses01M_impro06_M009,sad,1.5,2.5,2.5,Ses01M,No.
104.37,106.63,Ses03F_impro08_F016,neu,3.0,2.5,3.0,Ses03F,we compensating you for all your-
39.76,49.18,Ses05F_impro08_M005,ang,2.0,4.5,3.5,Ses05M,"Can you like talk to somebody about this, can you like can you tell them that this is ridiculous and can they change it from now on, is there a phone number you have that I can call that will like automatically be talking to somebody a human being."
183.77,189.08,Ses01M_impro02_M023,sad,1.5,2.5,3.5,Ses01M,"I really don't want to go, I don't want to go..."
61.7187,63.7973,Ses02M_impro02_M007,sad,3.0,2.5,3.5,Ses02M,"You gotta take care of our baby for me, alright?"
131.95,134.62,Ses01M_impro07_M017,hap,4.0,3.5,2.5,Ses01M,They do it's--believe me it's huge.
83.7292,86.9924,Ses03M_impro02_M012,sad,2.0,2.5,3.5,Ses03M,Honey you're not going to be by yourself--
7.6018,10.43,Ses05F_impro02_M000,neu,3.0,2.5,1.5,Ses05M,What is it?
392.0554,396.31,Ses05F_impro04_M041,neu,3.0,2.0,3.0,Ses05M,"Okay.  Okay, I'll call some people."
158.135,161.2675,Ses03F_impro02_M016,sad,2.0,2.5,2.0,Ses03M,You can't leave your daughter alone like this.
77.21,81.62,Ses05F_impro05_M010,neu,2.5,2.5,3.5,Ses05M,"Okay, and what is that?  What kind of bag is it?"
139.5605,145.0028,Ses02M_impro04_F010,neu,3.0,2.0,3.0,Ses02F,"That's- I mean. There are more factors then just whether you're good or not, you know what I mean like"
213.17,214.55,Ses05F_impro08_F033,neu,4.0,2.0,2.0,Ses05F,bye bye
133.88,137.1,Ses01F_impro02_M011,sad,2.5,1.5,2.5,Ses01M,Yeah.
331.92,334.76,Ses04F_impro07_M072,neu,3.0,2.0,3.5,Ses04M,lots of drunk frat boys
97.6125,99.7,Ses03F_impro07_F017,hap,4.5,2.5,2.5,Ses03F,Yeah. It's really cool.
172.77,174.93,Ses02F_impro06_F011,sad,1.3333,3.3333,2.0,Ses02F,I'm gonna forget him.
200.0327,202.4358,Ses03F_impro06_M010,sad,2.0,2.5,3.0,Ses03M,Some people.
50.62,53.06,Ses03M_impro07_F008,hap,4.0,3.0,3.0,Ses03F,Yeah.  Hopefully it won't be like high school.
142.1038,147.94799999999995,Ses03F_impro03_F021,hap,3.5,3.5,3.5,Ses03F,"like I think I want to get married--I want to have two weddings. One here, then one in Europe."
51.48,56.8564,Ses04M_impro06_F004,sad,3.0,3.0,3.0,Ses04F,"But, I'm here if there's anything you need.  I mean, you just have to ask.  I know --"
82.16,88.2252,Ses02F_impro06_F006,sad,2.0,2.6667,2.3333,Ses02F,"I mean, he was like really conscious right up until the end. you know"
129.43,139.16,Ses01F_impro04_M021,neu,3.5,3.5,3.0,Ses01M,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now."
346.09,355.74,Ses05F_impro05_F041,ang,1.0,4.5,4.5,Ses05F,"No, I don't think I am.  I like have a whole bunch of stuff that means a lot to me, and I brought it you know from Africa.  It's not like I can just go back and get it whenever I want."
202.3531,208.07,Ses05F_impro05_F022,ang,2.0,4.0,4.0,Ses05F,"Right, but part of the agreement is that I'm paying so that I can take myself and my belongings with me."
87.19,91.3275,Ses03M_impro05a_M016,ang,1.5,4.5,4.5,Ses03M,"Oh, oh, that's a good deduction."
19.0,24.66,Ses05F_impro02_F002,sad,2.0,2.5,1.5,Ses05F,I'm sorry.  It's just a lot ahh to explain. ahh I got a call--
131.02,133.25,Ses01F_impro05_M022,neu,2.5,2.0,2.0,Ses01M,Okay. Calm-
100.63,102.81,Ses05F_impro08_F015,neu,3.0,2.0,2.5,Ses05F,if I call it up on the screen.
355.76,358.78,Ses05F_impro05_F042,ang,1.5,4.0,4.5,Ses05F,It's not like I can go to Kmart and buy another.
69.3126,73.04,Ses04M_impro05_F007,neu,2.5,2.5,2.5,Ses04F,"Um, but, actually, our policy is a fifty dollar"
143.6889,152.0367,Ses03M_impro06_M019,sad,2.5,2.5,4.0,Ses03M,then I got busy with work and stuff and three years go by
103.88799999999999,108.8276,Ses03F_impro06_F015,sad,2.5,2.5,3.5,Ses03F,"I know. He was, he had so much going for him."
129.19,136.15,Ses05M_impro06_M012,sad,1.5,3.0,2.0,Ses05M,"You think that things get easier, you know, as you as you get older and you -"
89.87,92.7589,Ses04M_impro05_F010,neu,4.0,2.0,2.5,Ses04F,I can't do that.
116.47,123.1,Ses05M_impro03_M014,hap,4.0,3.3333,2.6667,Ses05M,"Yes.  We did that in the beginning, exactly.  So we had, so we just had, you know, good times the rest of the weekend, yeah."
83.89,89.8,Ses05F_impro04_F008,ang,1.5,4.0,4.5,Ses05F,I still can't live on in six seven and five.  It's not possible in Los Angeles.  Housing is too expensive.
166.37,167.6,Ses01M_impro05_F033,neu,3.0,2.5,3.0,Ses01F,No.
194.34,197.29,Ses04F_impro08_M022,ang,2.0,3.0,4.0,Ses04M,Cindy?  Cindy what?
184.7,186.34,Ses05F_impro06_M021,neu,3.0,2.0,2.5,Ses05M,yeah.
182.83,185.8894,Ses01F_impro02_F019,sad,2.5,1.5,2.0,Ses01F,I'll send you lots of letters.
219.75,221.9,Ses05M_impro03_M033,hap,4.6667,3.3333,3.0,Ses05M,Thank you.
83.15,88.98,Ses03M_impro08b_M007,neu,2.5,3.0,3.5,Ses03M,"Well, um- okay.  Your sim card is in- didn't fall out-"
78.31,81.46,Ses04M_impro05_M010,ang,3.0,2.5,3.0,Ses04M,"I don't but the thing is, I don't care about your policy."
143.29,145.77,Ses03M_impro05a_F025,neu,3.0,2.5,3.5,Ses03F,I am the manager sir.
256.79,260.88,Ses05F_impro03_F057,hap,4.0,3.5,3.5,Ses05F,"You should just approach her like that.  Hey, will you bear my children?"
38.8667,44.0823,Ses02M_impro01_F006,neu,2.5,3.0,2.5,Ses02F,"Um, that you would need to go home and get another form of ID and come back."
82.11,85.05,Ses03M_impro04_M008,ang,2.5,3.0,3.0,Ses03M,I'm smarter than half the people I work for.
42.09,43.41,Ses01F_impro03_M008,neu,4.0,2.6667,2.0,Ses01M,Yeah.
117.015,121.9555,Ses03M_impro06_M017,sad,1.5,3.0,4.5,Ses03M,"-do I miss him or do I hate him, you know?"
133.5575,137.9057,Ses03F_impro04_M015,neu,3.0,2.5,3.0,Ses03M,How's the job? Still waiting tables at Denny's?
116.54,128.97,Ses05M_impro06_M011,sad,1.5,3.0,2.0,Ses05M,"And now I don't have that person anymore, you know.  And it's -- -- it's just, you."
219.5,221.87,Ses04F_impro02_F018,ang,1.5,3.0,2.5,Ses04F,I feel much better now.
158.5369,166.766,Ses02F_impro02_F011,sad,1.5,2.0,3.0,Ses02F,"I mean, it's just as hard for me, but--I know that we can do it, you know"
57.3791,64.1421,Ses02M_impro01_M009,ang,1.5,4.5,4.0,Ses02M,Shouldn't they have like told us about that? I mean why - why would they make me go and wait three hours if I have got to go and do it again?
24.5138,28.15,Ses02M_impro01_M004,neu,3.0,3.5,3.0,Ses02M,"Uh, sorry, I forgot them. I mean I've got to -"
183.92,190.69,Ses04F_impro04_M023,neu,3.0,3.0,2.5,Ses04M,"Because I don't know I mean just, you know, just keep- keep- keep at it.  Keep trying.  Go-"
74.3085,75.0407,Ses02M_impro05_F009,neu,3.0,2.5,2.5,Ses02F,Okay
217.54,220.65,Ses05M_impro03_F031,hap,4.3333,2.6667,2.6667,Ses05F,"That's incredible yeah ,Congratulations."
156.325,158.6525,Ses03F_impro02_F023,sad,2.0,3.0,1.5,Ses03F,"Babe, I love you."
135.85,145.05700000000004,Ses02F_impro04_M010,neu,2.5,3.5,4.0,Ses02M,"It's not worthless 'cause it's definitely gonna--it's definitely gonna pay off.  I know it.  I mean, I can--I've just--I've seen your work etiquette.  You know, you're a good worker and..."
17.2553,20.0055,Ses03M_impro06_M001,sad,3.5,2.5,2.5,Ses03M,alright.
162.0146,173.1274,Ses02F_impro08_F022,neu,3.5,3.5,4.0,Ses02F,"So, it's a five hour flight, but you'll arrive only at eleven a clock in the morning.  So that day, you can have plenty of time to get to your hotel--Rest up and then still have a nice afternoon your first afternoon in Maui."
107.98,124.59,Ses04F_impro05_F011,ang,1.5,4.5,5.0,Ses04F,Look fifty dollars is unacceptable.  My bag itself cost over a hundred and fifty dollars.  You can't just give me fifty dollar gift certificate to Percoes or whatever the hell and then send me off like that's- that's good enough.  Like that's all I needed was fifty dollars.  My bag is worth more than that.
67.3201,68.6995,Ses03F_impro07_M012,neu,4.0,2.5,2.0,Ses03M,oh yeah.
158.675,166.4244,Ses03M_impro08a_F021,ang,1.5,4.5,4.5,Ses03F,"I am a realtor and this is my business.  People are calling me all the time but you know, and I don't have a land line.  I can't afford to have a land line"
280.32,284.39,Ses04F_impro07_M058,neu,3.0,3.5,3.0,Ses04M,"I mean, like, I don't know.  I'm just saying if you need to make some extra cash.  You can, you know"
131.16,134.95,Ses03F_impro02_F020,sad,1.5,2.0,1.5,Ses03F,"Babe, I'm sorry. But I don't want to do."
161.48,168.58,Ses03M_impro05b_F021,neu,2.5,3.0,3.0,Ses03F,"Well, the entire flight, sir, the luggage was placed on another plane that never actually left Baltimore."
136.4628,142.2035,Ses03F_impro06_F021,sad,2.0,2.5,3.5,Ses03F,"It's weird, I kind of feel like part of me is gone now, you know?"
117.21,118.47,Ses01M_impro03_F018,neu,3.5,2.5,3.0,Ses01F,Yeah.
195.67,202.37,Ses05M_impro08_M025,neu,4.0,3.5,3.0,Ses05M,Uh huh Uh huh We want you to be happy.  You're our customer.  You're the most important thing. Okay?
165.32,167.36,Ses05F_impro03_F036,hap,5.0,4.5,4.5,Ses05F,[LAUGHTER]
51.1,53.68,Ses05M_impro08_M005,neu,3.0,3.0,2.5,Ses05M,Has somebody tried to pin your site?
111.1763,112.7157,Ses04M_impro05_M016,ang,2.5,2.0,2.0,Ses04M,You--
180.81,188.2546,Ses02M_impro04_F015,neu,3.0,2.3333,3.3333,Ses02F,"But like, just because you're considering why it's been so difficult doesn't mean you should just stop."
119.01,120.88,Ses03M_impro05a_M021,ang,1.5,4.5,4.5,Ses03M,Don't yell at me.
132.51,134.5925,Ses03F_impro08_M021,neu,3.0,2.5,3.5,Ses03M,About three million dollars.
163.54,165.73,Ses01F_impro02_F016,neu,2.0,1.0,2.5,Ses01F,I have to find sitters.
48.73,52.86,Ses01M_impro07_M006,hap,4.0,3.0,2.0,Ses01M,"I don't know. I should ask. Yeah, I will."
145.05,151.19,Ses03M_impro05a_M026,ang,2.5,3.5,4.0,Ses03M,"You're the manager? You don't know where you work for, you don't know where you're at and you're the manager?"
12.89,19.57,Ses04F_impro03_M001,neu,4.0,2.5,3.0,Ses04M,"Uh, you got a new car, a new house. Uh, a dog."
187.7365,191.1325,Ses02M_impro08_M027,neu,3.3333,3.0,3.0,Ses02M,And you know just I mean be careful in the future if um
166.11,167.7325,Ses03F_impro04_F024,sad,2.5,2.5,2.5,Ses03F,Yeah
157.3912,161.0958,Ses03F_impro04_M017,neu,3.5,3.0,3.0,Ses03M,Maybe you could start teaching. I don't know.
27.98,29.622,Ses02M_impro01_F004,neu,3.0,3.0,3.0,Ses02F,Well
89.44,95.3,Ses05F_impro04_M008,neu,2.5,3.5,3.0,Ses05M,"and No, I understand, but you've got to start somewhere.  It's better than nothing and that's all you have.  You have nothing right now."
200.57,204.3,Ses05M_impro03_F027,neu,3.3333,2.6667,2.6667,Ses05F,"Yeah, have you ever like lived with someone else before?"
29.42,35.95,Ses02F_impro05_M002,neu,3.0,2.5,2.0,Ses02M,"Uh, well some-some of the bags were--were lost on the way over here. uh-"
69.57,71.54,Ses05F_impro06_F007,sad,2.0,2.0,3.5,Ses05F,"I just, I don't know."
111.63,118.5,Ses04M_impro04_F007,neu,3.0,2.6667,3.6667,Ses04F,"If you're not willing to try and work with it and find something and, you know, I mean, there are things you could do."
146.81,149.37,Ses04F_impro02_F011,sad,1.5,2.5,2.0,Ses04F,What's that supposed to mean?
200.81,203.14,Ses04M_impro07_M030,neu,4.0,2.5,3.0,Ses04M,Maybe some golf matches.
177.46,183.79,Ses04M_impro08_M020,neu,3.0,3.5,3.0,Ses04M,"I mean, technically, that's policy.  But, like, I mean, I don't really care about -- nobody really cares about policy here."
6.5663,11.4367,Ses03M_impro08a_M000,neu,3.0,3.0,2.5,Ses03M,Hello.  This is Viacom Services.  How can I help you?
241.32,247.38,Ses02F_impro05_F019,ang,2.0,3.5,4.0,Ses02F,It sounds like it's such a little like oh well no big deal whatever.  It's a big deal to me.
144.09,145.68,Ses01F_impro06_M010,neu,3.0,2.5,3.0,Ses01M,Oh really?
104.97,107.78,Ses01F_impro04_M017,neu,3.0,3.5,3.0,Ses01M,"No.  But it has an outline, you know."
123.98,133.33,Ses02M_impro07_M026,hap,4.0,4.0,4.0,Ses02M,"I'm looking forward to getting there. I mean, God, the campus is cool, you know it's like all just very confined I mean just you know it's a college campus you know it's like"
65.34,69.58,Ses05F_impro01_F008,neu,2.0,3.5,3.5,Ses05F,"So could I maybe get the form from you, fill it out here- and maybe you could-"
