text_a	label
While I appreciate U S News World Report's endorsement, true value of your support is measured by way Goodwill takes on problems that affect all of us	2.9
And there are lot of people who face these challenges every day of their lives	2.9
So our work must continue	3.14
Everyone benefits from work we do together	3.5
Many people need our help	2.9
Please continue our important partnership	3.0
Support Goodwill with generous donation today	3.14
We've helped people break free of welfare cycle	3.7
Dec	3.0
We've found ways for people with disabilities to enter workforce	3.38
We've expanded Goodwill's proven methods to towns and neighborhoods where they are needed most	3.4
Of course, we have played different roles	3.1
You have helped make Goodwill's work possible with your previous support	3.6
Goodwill has devised programs that turned your investment into results	3.2
Everyone has	2.9
When you and I help somebody find job, more person joins ranks of tax payers, fewer tax dollars are spent on public assistance and businesses gain another consumer	3.6
You and I have done some important work together	3.6
There are lot of barriers that keep people from working: physical and mental disabilities, history of welfare dependency and lack of education or selfesteem	2.67
Now his goals are set on moving up in company	3.1
Every year, thousands of people come to Goodwill	3.12
Like Michael, they share common characteristics	2.86
They face some barrier to employment and they want to work	3.0
With support from people like you, they can overcome their barriers and earn success and selfsufficiency that comes with it	3.38
And then payoff begins for entire community	3.38
Last year, participants in Goodwill programs earned and paid taxes on wages of nearly million	3.4
Michael Sims felt that way at age day he earned job	3.3
Nov	3.0
The families of new wage earners may feel accomplishment in terms of house to live in, money to purchase food without food stamps and beginning of family focused on success, not hopelessness	3.2
Wo n't you help make all of these successes possible?	3.0
Sincerely,	3.25
James M McClelland President	3.0
P S	3.0
Your gift will make difference	3.64
For every dollar of public support Goodwill received last year, we returned to community in form of earned wages and reduced public assistance payments	3.6
For several years he performed packaging and clerical work	3.0
Dear,	3.0
Think of your greatest accomplishments	3.44
For long months Michael could not find job	2.22
At Goodwill, Michael's counselors felt that his personable demeanor could be major attribute and identified for him possible jobmatch where his people skills could shine	3.6
After interviews, Michael proved that he was right person for job	3.6
Think of joy and success they bring to you and your loved ones	4.0
Their complaint: system discourages working because unemployment provides benefits that many entrylevel jobs do not include	2.6
Some of strongest critics of our welfare system are people who have become dependent on it	3.0
That's where you and Goodwill come in	3.1
We help people train for and find jobs that make it possible for them to get off of welfare	3.25
Last year, Goodwill placed people in jobs, more than double number we placed in	3.8
While debate on welfare reform is gathering like storm at sea, people who need jobs are floundering	2.7
We need your support to continue getting people off of public assistance	3.1
Welfare is not answer	2.9
And welfare reform is uncertain solution with unknown starting date	2.8
Goodwill works	3.87
Right now	2.86
Please give largest gift you can to Goodwill today	3.2
Sincerely, Jack Dustman Chairman	3.0
Some, like Jerry, are exoffenders	2.9
More than were homeless	2.2
But Goodwill offers hope even to people with numerous obstacles to overcome, like Jerry	3.4
Mar	3.0
With promising new job at plastic injection molding manufacturer, his legal troubles in check and safe place to live, Jerry can get on with business of building life for himself and contributing to his community	3.5
He knew he had made bad mistake, but despite his commitment to rebuilding his life, he just did not count on obstacles that would be thrown up in his path	2.7
Your support of Goodwill will provide job training and placement services to help hardest to serve in central Indiana find meaningful employment	3.5
And, with your assistance, Goodwill can help employers develop resources to keep workers on job	3.43
Please make investment in stability of our community by sending gift to Goodwill	3.29
Your generosity will help people help themselves	3.56
James M McClelland President	3.0
Reality hit when he was unable to reconcile with his wife and ended up on street	2.0
Name Address City, ST, Zip	3.0
The Trustee referred him to Blue Triangle where he consulted Goodwill's Career Academy staff for job search assistance	3.2
Jerry's Goodwill caseworker found him job immediately	3.3
But Jerry's troubles did not end there	2.5
The seasonal construction job he obtained soon ended, and he returned to Career Academy for help once more	2.89
When Jerry was released from prison, he knew it would take hard work and determination to straighten out his life	3.0
Unemployed, homeless and with prison record, Jerry now faced going back to prison for failure to pay child support	2.2
Such fund are often used for college tuition, vocational training or deposit on apartment	3.0
Without private donor support, this Fund does not exist	2.29
Sincerely,	3.22
Mary Roth Executive Director	2.9
Jun	3.0
Name Address City, ST Zip	3.0
Individuals who are being emancipated are eligible to receive up to from Fund if they formally apply and meet requirements:	3.2
Release by courts	3.0
Successful completion of all life skills tests	3.5
Do you remember combination of elation and apprehension you felt when you first left home?	3.1
Positive termination of his or her Pleasant Run program	2.88
Possession of high school diploma or GED	3.29
Proof of meeting these, staff reference letters and essay stating why they should receive grant and how it will be used are all reviewed by Pleasant Run panel, which determines if applicant merits funds	3.0
Then task was to help children who lost parents in Civil War	3.0
Some come from families where, through therapy, there is hope for reunification	3.3
For others, families are counselors are housemates at group homes where they live	3.2
In we will serve over children and families	3.5
In , these figures will triple	3.0
The children and families who come to Pleasant Run are given opportunity to become happy, loving, and productive members of our society	3.63
Nov	3.0
They welcome chance to belong, to become self sufficient, to regain their selfesteem and confidence	3.5
Often it is long, hard struggle, but results are well worth it	3.3
For Pleasant Run to continue to serve abused and neglected children and their families, we need your support	2.7
The Funding sources are shrinking, but needs grow explosively	2.71
Please help good kids get better by sending us contribution today	3.2
Your gift will give children and families hope for improved tomorrows	3.2
Mary Roth	3.0
Older kids, like Tracy and Kerry, left homeless after recent murdersuicide in Indianapolis claimed Mom and Dad	2.1
Young adults, like Mary T, jobless mother of three, trying desperately to keep her kids out of trouble in crimeridden neighborhood	2.4
Dear Friend:	3.0
Real people!	3.62
There are thousands more	2.9
Families are being torn apart, and too often, children are victims	1.9
What kind of people benefit by your contribution to Pleasant Run Children's Homes?	3.1
Kids like Tommie J, made ward of court because of repeated beatings by alcoholic father;	2.29
Alice, sent to group home to get help because of severe behavior disorders;	2.5
and John H, recovering alcoholic, rebuilding relationships with his family so they can live together again	3.33
for others, it is years	2.78
We're proud of our children and all that they overcome	4.0
We are notforprofit, multiservice agency	3.2
We would not exist if need were not there	3.0
The numbers of children who deserve our services are rising as quickly as our programs can grow to serve them	3.1
Please help us help them	3.43
Pleasant Run Children's Homes where good kids get better	3.4
Sincerely,	3.2
In spite of that, Pleasant Run Children's Homes, with help of hundreds of volunteers and others who really care, continues to make significant impact on futures of families and kids in need of help	3.57
Dear Friend:	3.44
Yet few of us hear enough about kids who live through these adversities and do make grade	3.0
The positive side	3.7
These are special children	3.4
They come into Pleasant Run program	2.9
whether it is for therapeutic help in their own homes which nurtures whole families , through foster care families or in familial surroundings of our residential homes	2.88
Your contribution will make difference in child's life	3.44
It can certainly make happy holiday memories	3.78
A gift to Pleasant Run means children in our care will have presents to open	3.55
A gift means family will have holiday meal, cooking utensils to prepare meal and dishes to serve it on	3.33
Your gift will go beyond holiday season	3.5
It can help purchase clothing, school supplies, books and educational tools throughout year	3.29
Please take few minutes to mail donation to Pleasant run	3.25
We wish you and your family new year full of joy and love	4.3
Sincerely,	3.12
Mary Roth Executive Director	3.0
This is time of year when we give thanks for warmth and love that surrounds us	4.0
And this time of year is occasion to remember those not as fortunate as we are	2.7
Pleasant Run cares for atrisk children and families	3.2
We do this through wide range of programs including community based, therapeutic foster care, group homes and our treatment center	3.0
Today we are asking you to take few minutes to consider making contribution to Pleasant Run to help , children families we care for	3.12
Many of children have no homes; no memories of joy from past holidays	2.12
If you are interested and would like more information, please contact Lisa Lusk or Marcia Whited at	3.0
We would like to have families matched with sponsors non later than xxxx	3.0
Thank you for considering this opportunity to make this memorable holiday season for family in need	3.78
It's hard to believe that holiday season is only months away	3.1
Every year we seek companies, organizations and individuals to sponsor or more of our families	3.1
These families are participants in our communitybased programs	3.1
These programs focus on keeping family together by providing counseling and other services to entire family	3.4
After our caseworkers meet with these families and their children they often find they lack even basic necessities such as cooking utensils, beds, cleaning supplies, etc	2.5
We meet these needs immediately	3.1
But, holiday season is particularly difficult time for these families	2.25
We are asking you to consider sponsoring of our families for this holiday season	3.1
It costs to send child to camp	2.9
Many members of Boys Girls Clubs of Indianapolis can not afford to go to camp without financial assistance, and that is why we need you!	3.1
Please make camp possible for all deserving Indianapolis children and send in tax deductible contribution today in enclosed envelope	3.11
Consider sponsoring , , or children	3.22
Sincerely,	3.0
Richard Dickinson	3.0
Sponsor child at Boys Girls Clubs of Indianapolis' summer camp today!	3.67
weeks of learning and exploring, sports, arts, and fellowship	3.2
A time for youngster to enjoy fun and benefits of residential camp living, dedicated staff and instruction, and chance to make special friends	3.14
I know you are committed to ensuring today's children have safe, healthy, and positive summer experiences	3.6
That's why I want you to learn more about Super Summer Safari Camp	3.14
At Super Summer Safari Camp, there are daily sports, nature, and arts activities	3.29
Dear Friend,	3.4
In addition to fun stuff, important lifeskills such as selfesteem, leadership, and interpersonal cooperation are being developed	3.1
It's summertime, so it must be time for CAMP!	4.0
We are counting on you now to help us get where we need to be tomorrow	3.0
Would you please consider gift of same in ?	3.0
Please, give generously	2.83
The kids are depending on you	3.1
Respectfully,	3.0
James Campbell President of Board Deputy Chief, Indianapolis Police Department	3.0
A United Way Agency	3.11
Please detach and return in enclosed envelope	3.0
Youngsters often find themselves feeling alienated and alone	2.45
Feb	3.0
That's where Boys Girls Clubs of Indianapolis come in	3.11
We reach out to kids especially those from disadvantaged neighborhoods where risks are highest	3.3
Kids today face overwhelming pressures, everything from trouble at home to gangs and drugs	2.2
Money for programs, for equipment, and for repairs and improvements to club facilities	3.2
Your contribution last year of helped us get where we are today	3.9
In addition, we will have soft drinks and raffle, so that you can walk home with great prize!	3.5
The Jameson Grill has been designed to be nothing but fun for you, your family, employees, and maybe even your neighbors	3.33
Join in this wonderful event and help Jameson Camp continue to provide yearround support that gives kids chance to create dreams	3.4
Simply fill out enclosed card, and we will see you at Grill!	3.5
of our volunteers will be contacting you soon	3.14
Call Pat Bray at or email, EMAIL	3.1
Come one, Come all to Inaugustural Jameson Grill	3.75
A fund raiser dedicated to you and your family having fun!	3.9
!	3.33
For this event, when you purchase corporate picnic table, you will be able to bring people	3.3
The Grill will feature enough activities that you and your kids will have tough time decemberiding what to do	3.0
From basketball, kickball, volleyball, archery, crafts, egg toss, and even walk through our creek, you will have plenty to do to get you good and hungry	3.4
Hungry, you bet!	3.0
We'll prepare hog roast and hot dogs for kids, with all fixings	3.8
This event is designed to be fun for campers, their families, friends of camp, neighbors, staff, and anyone interested in finding out more about Jameson	3.29
In short, Fun for Everyone!	4.2
Can you help support this wonderful event by furnishing any type of products or services that can be used as prizes for our activities or as raffle prize?	3.34
Your contribution will help with funding so Jameson Camp can continue providing yearround camping experience that gives kids chance to create dreams	3.4
Jul	2.89
Or, you can fax us at , or email, EMAIL	3.0
Your quick response will help us begin organizing our prizes	3.22
After we receive your commitment, we will contact you about picking up your contribution	3.2
If you have any questions, please call me at	3.12
We appreciate your support of our first event of this type	3.62
Sincerely,	2.8
Help Blaze The Trail Jameson Camp	3.1
Thank you for your last Annual Fund Gift!	3.9
The camp offers summer residential programs for children from ages , and continues contact with campers and their families with special overnight and weekend followup events during school year	3.09
Name Address City, State Zip	3.0
All children who attend camp are referred by social workers, doctoberors, teachers, counselors, and other professionals	2.92
Many of children have learning disabilities, behavioral problems, or come from economically distressed families	2.5
Dear Mr Mrs Name:	3.0
The goal of our organized camping experience is to improve total health of children socially, emotionally, and physically	3.3
This year Jameson Camp is planning Inaugustural fundraising event: The Jameson Grill!	3.4
of them told me yesterday that as group they decemberided they had to earn right to ask others for help by accomplishing something real to help themselves	3.4
I hope you will consider continuing your support of Jameson's special campers by renewing your last gift of xxx	3.25
And that is from kids many people see as problem	2.55
Even after summer sessions come to close, Jameson campers will take part in yearround programs designed to keep that positive contact with peers and role models alive and important	3.3
We've scheduled more than followup camper weekends beginning in September and going around till next summers camping season	3.4
Sincerely,	3.0
We know our followup weekends are going to be better attended than ever this fall and winter	3.6
July ,	3.0
If you can give little more to help meet this increased expense we would appreciate your support	3.1
I can tell you we need your help now as much as ever before	3.11
All of our summer camping sessions are booked to capacity and, truth be told, with maybe our extra returning campers squeezed in and we have waiting list of children who are hoping to come if spot should open	3.2
Dear Name,	3.0
What Summer!	3.5
Many more camper referrals are coming from new organizations such as school socialworkers and family counseling agencies	3.1
It seems summer options are not readily available for troubled kids whose families have limited incomes, so we are doing all we can to make Jameson available	2.8
And we are just getting started!	3.5
That we includes Youth Leadership teens	3.0
These or so campers have takenon fund raiser with goal of raising , for camperships	3.25
An understanding that, above anything else, success requires genuine effort, willingness to set challenging goals	3.29
In just past few years this program has grown from few kids and few extra activities to team of almost young adults taking on real projects	3.0
YL teens will make J C juneiors happen again this year for and year old campers	3.09
A day camp, J C juneiors introduces atrisk children to Jameson years earlier than we could previously reach them	3.6
That means we now have opportunity to be stable, positive and important part of each child's life for entire decemberade	3.9
The teens have also decemberided to raise money to provide camperships for other campers because they know what Jameson has meant to them	3.3
Jun	3.0
And their activities are not isolated to Jameson	3.0
The teens have undertaken volunteer project to regularly visit with sick children at local hospital	3.5
Please consider renewing your gift today	3.1
The kids need your leadership now more than ever	3.0
If you can increase your last donation, we would appreciate that show of support for campers and their efforts to overcome obstacles and create successful lives	3.0
Thank you again for helping way	4.11
Sincerely,	3.0
Julie Marsh, Executive Director	3.0
P S	3.0
These are attributes we want all children to have	3.14
You help Jameson campers reach for them	3.2
If these special children are to become adults we all need them to be, we have to lead them in right direction right now	3.4
Name Address City, ST Zip	2.88
Jameson points way for children who need that extra hand and I hope you will continue your support this year	3.11
You're last gift of helped make it possible for us to provide guidance, encouragement and fun to nearly Indianapolis area children	3.5
What has your support of our campers meant to them and what have they been able to accomplish because you care?	2.75
Confidence	3.4
The best indicator I can give you of positive effect our yearround contact has is growth in and deeds of Youth Leadership teens	3.5
The Summer Enrichment Program will conclude with celebration that includes family and friends	3.25
We would like to offer our youth small reward for their participation by presenting them with gift certificates from Target	3.0
Therefore, we are asking you to donate , gift certificates that can be used toward purchase of school supplies or clothing, in total amount of	3.0
In return, we will recognize Target as sponsor during our event and in event program	3.12
Target is well known for it is support of community, and we believe that Summer Enrichment Program represents your interests and concerns quite well	3.3
I will be happy to supply any additional information you may need and thank you for your consideration of our request	3.6
We look forward to hearing from you	3.6
Sincerely,	3.0
Valery De Long Director of Development	2.88
In , we served total of , lowincome individuals through job training and placement assistance, youth and senior programming, family counseling, emergency assistance, and much more	3.1
Name Address City, ST Zip	3.0
As you can see from enclosed map, your Target store is located in heart of of our service areas	3.14
The centers that serve these areas, Mary Rigg Neighborhood Center, Hawthorne Community Center, Southwest MultiService Center, and Christamore House, have teamed up to run exciting job readiness program for and year old area residents called Summer Enrichment Program	3.5
CCI is federation of neighborhoodbased multiservice centers whose mission is to identify and meet human service needs of residents throughout Marion County in most effective, efficient and comprehensive way possible	3.12
Between June and August , youth will spend hours week developing life management and work ethic skills, learning computer, visiting area colleges, and interacting with guest speakers	3.1
With this in mind, I am asking each of you to make personal contribution of , or even , to show that you believe in work that we do and are willing to support it with both your time and your finances	3.3
CCI has come long way in last years	3.2
This way when we go out to ask for community support and are asked about our board giving level, we can show our inhouse commitment through board participation	3.12
I also encourage you to seek additional support through your company, church, or service organization	3.0
We've worked hard to structrue organization so that we have ready to move boldly into next century, and I believe that we have exciting and successful future ahead of us	3.7
MMM FNAME LNAME TITLE COMPANY ADDRESS CITY, ST ZIP March ,	2.91
Your financial support of development process is just step in making CCI stronger, more efficient and ultimately more effective federation of service providers	3.63
Please, make your contribution today	3.1
Sincerely,	2.89
J Chris Graffeo Chair	3.0
P S	2.9
If you have any questions, feel free to call Valery De Long at CCI, x	3.0
of areas we have decemberided to focus on is development	3.12
It's clear that if we do not increase our base of private funding, we will not have kind of control we need to ensure continued success of our centers and very important services they offer	2.9
In , CCI served , individuals right in their own backyards	2.9
The community initiatives committee is working with our development office to put together longrange fundraising plan that will ultimately bring more money into our centers	3.6
Dear LTRNAME:	3.0
This in turn will help us to increase and even improve services we offer	3.44
HIPPY Home Instructional Program for Preschool Youngsters for families	3.27
Stopover crises counseling for youth	2.8
In Home Services for adults and seniors	3.17
Transportation for youth and seniors	3.0
CCI is federation of neighborhoodbased multiservice centers plus affiliate whose mission is to identify and meet human service needs of greater Indianapolis community in most effective, efficient and comprehensive way possible	3.3
Answer , opportunities to change life!	3.5
Better yet, most of these services occur in cooperation with private and public agencies from all over city CICOA The Access Network, Goodwill Industries, Indianapolis Housing Agency, City of Indianapolis, Indianapolis Private Industry Council, Family and Social Services administration, OTC, Indy Parks, and numerous community development corporations, neighborhood organizations, and churches, to name just few	2.9
This is exactly what happened in when Community Centers of Indianapolis provided its comprehensive, neighborhoodbased services to individuals and families all over Marion County	2.9
More than , people benefited from our services in , and final count for could be even higher	3.3
We're asking for contribution in amount of because you can not got better bang for your buck than to support organization that impacts so many lives in so many ways	3.2
Please, make tax deductible gift to Community Centers of Indianapolis in , and know that COMPANY is playing important part in meeting needs of its community	3.3
If you have any questions, please feel free to give us call at	3.0
We thank you for your consideration, and look forward to hearing from you	3.6
Earline S Moore President	3.0
Valery De Long Director of Development	3.0
And we can do even more in with your financial support!	3.0
Just look at range of services we offer:	3.11
, career assistance for youth	3.18
Question What do you get in , hours with people in locations?	3.0
Preschool for young children	3.0
School Age Child Care for and children and youth	3.3
Adult Day Care for seniors	3.0
Senior Case Management Aids Education for youth and adults	3.38
Senior Nutrition meal program	3.0
Day Care for young children	3.33
In , MCCOY, Inc led efforts that, we believe, will help our community continue to take steps necessary to help all young people grow up and develop well	3.12
Two, funding was made available this summer for youth organizations and churches to conduct positive youth programming on Saturday evenings	3.3
Through youth mapping process, it was confirmed that positive opportunities for youth on weekend evenings were lacking	2.6
Aug	3.0
That need is being met	3.3
As it has been exciting year for all of us, MCCOY, Inc can not do its part without support of organizations like yours	3.3
Annually, we ask several of our youth serving organizations to join us in our effort to help young people grow up well in Indianapolis	3.12
Enclosed is donation card that will enable you to make Indianapolis great place for ALL of us to live	3.36
If you have any questions or concerns at any time, please do not hesitate to call me at	3.0
Sincerely,	2.9
John F Brandon, President MCCOY, Inc	3.0
Participants in Youth Outcomes Educational Initiative identified goals for all our youth to obtain: economic selfsufficiency, healthy family, social relationships, and involvement in community	3.3
Name Address City, ST Zip	3.0
A short time later, Community Youth Mapping Project sent young people out into community to identify resources they need to grow up well: caring adults, safe places to go, and positive things to do	3.3
The goal of MCCOY, Inc has been to make difference	3.37
group of adults and group of youth, through very different processes, have arrived at same conclusion; our community still has much to do if we are to help ALL of your youth successfully develop into responsible, productive adults who will our community in future	3.2
It is our goal that every young person in Marion County have access to programs and services that can best assist them in their growth toward positive adulthood	3.3
I am hopeful that you as individual and Meridian Insurance as corporation might consider becoming sustaining supporters of MCCOY	3.17
I obviously can not tell whole story of MCCOY in single letter but I hope this provides overview of scope of our work	3.11
Please consider joining together with your fellow citizens in support of work of Marion County Commission on Youth	3.22
Jan	3.0
Sincerely,	3.0
Name Address City, ST Zip	3.0
MCCOY Inc, originally founded as government agency but reorganized in as independent notforprofit, is countywide youth services coordinating, planning, and convening agency	3.2
Its purpose is to encourage collaboration and cooperation between various agencies, programs, and systems that serve our community's youth	3.2
Dear Bill:	3.2
This is time of year when our thoughts turn to ways to do things differently, things that will make our lives better and improve quality of our life	3.4
The formation of The Community Academy, pilot project directed at expelled students from local school systems, has come about as result of MCCOY's efforts to mobilize community agencies in response to pressing issue	2.88
McCoy is actively represented and working with numerous community collaborations where we regularly raise our voice to speak out for inclusion of young people in both decemberisionmaking and program planning processes	3.43
concrete example is joint project undertaken in United Northwest Area in partnership with The Junior League of Indianapolis and Community Partnerships with Youth from Fort Wayne, Indiana	3.12
Oct	3.0
As team, these organizations are working with neighborhood youth and adults to build Caring Neighborhood with Youth , mobilizing assets of young people and adults as partners to build better neighborhood for all	3.63
Since its reorganization, MCCOY has established its unique niche within community by refraining from direct service programming and focusing on what it does best: helping to identify youth needs, convening groups of individuals and organizations which can address those needs, and moving toward collaborative solutions	3.5
MCCOY was reorganized as independent, notforprofit agency, septemberarate from local government	3.0
McCoy invites support of The Company Foundation in amount of , to support such activities as:	3.0
coordination of youth leadership training and youth empowerment efforts at neighborhood level by means of neighborhoodbased youth councils;	3.2
promotion of youth employment opportunities;	3.4
facilitation of ongoing discussions regarding effective and efficient youth service delivery;	3.0
provision of technical assistance and guidance to neighborhoods which seek positive youthadult relationships;	3.2
NAME?	3.27
In last several years, business and corporate community has recognized that positive development of youth is directly related to development of competent workforce	3.38
Youth who are supported and encouraged by both family and society that values Them have much greater likelihood of becoming productive and contributing members of adult society	3.2
While we have made significant inroads, there remains much to be done and it is clear that we can not do it alone	2.73
Name Address City, ST Zip	3.0
In our fund raising efforts to date, we have received support of local government, foundations, and corporations as well as personal financial commitments of individual MCCOY Board members	3.43
We believe there is no more appropriate time to have coordinated and collaborative effort to financially support services MCCOY offers to community as whole	3.2
Thanking you in advance for your support, we remain,	3.44
Sincerely,	3.1
For past years, MCCOY has been actively engaged in accomplishing this decemberlared mission in cooperation with many others: youth service providers, youth, funding bodies, and interested citizens to name few	3.17
We have met with number of successes along way, most notably Summer Fun Line, Metro Summer Bus Pass, and development of neighborhood youth councils	3.2
In summer of , Marion County Commission on Youth began what can best be described as new era in its history	3.2
If you have any questions, please feel free to call Myrna Weinberger at , ext	3.11
The th annual JCC Auction will benefit numerous scholarship programs of Jewish Community Center of Indianapolis, United Way agency	3.56
Jul	3.0
Dear	3.38
The JCC would be very pleased to welcome your organization as corporate sponsor	3.5
Join us for Sale of Century at JCC Auction', on Saturday, November ,	3.0
We are seeking to build partnerships between businesses and our notforprofit agency	3.6
As sponsor, you and your guests will have special evening, knowing that your tax deductible contribution will help support preschool, childcare, senior and resettlement services, as well as quality cultural events in our community	3.0
Enclosed is corporate sponsorship package that includes sample auction book from last year's event, JCC marchket statistics and overview of many programs that will be preserved and strengthened through your generous support	3.43
of us will call you to discuss how your company can continue to be important, highly visible partner with JCC in support of our scholarship programs	3.0
If you have any questions, please feel free to call Myrna Weinberger at , ext	3.14
Thank you in advance for your consideration	3.7
The th annual JCC Auction will benefit numerous scholarship programs of Jewish Community Center of Indianapolis, United Way agency	3.44
Sincerely,	3.17
Oct	3.0
Because you are organization that cares, you are invited once again to be integral part of this fabulous event as corporate sponsor for JCC Auction'	3.3
Dear Name:	3.12
We are so grateful for your generous contribution to last year's auction	3.7
Your continued participation is very important to JCC, as we work to build partnerships between businesses and our notforprofit agency	3.14
Join us for Sale of Century at JCC Auction', on Saturday, November ,	3.28
As sponsor, you and your guests will have special evening, knowing that your tax deductible contribution will help support preschool, childcare, senior and resettlement services, as well as quality cultural events in our community	3.67
Over girls are currently waiting for Big Sister	3.0
You can make impact by supporting Big Sisters Annual Campaign and our , goal	3.1
If you are regular contributor to Annual Campaign, I encourage you to consider increasing your gift by	3.0
If you have not supported Big Sisters in past, please join me in doing so by completing and returning enclosed pledge form	3.1
Early adolescence is most vulnerable age for youth	3.0
It's perfect time to make world of difference	3.29
Sincerely,	3.43
When young people do not have that support, they need other resources for encouragement to guide them along way	3.1
Big Sisters are mentors and friends who empower girls to more fully reach their potential, experience life's opportunities and perhaps begin to dream	3.5
The relationships that are formed provide strong foundations from which healthy values and strong selfconfidence can grow, helping youth become strong, independent adults of tomorrow	3.5
It's tough growing up today	2.1
This year we will serve over , girls through our mentoring programs	3.43
This is impressive number; but for each girl served, more are left unserved	3.0
This is positive proof that Big Sisters mentoring program helps change lives	3.6
By contributing , you can support match for year	3.4
This money maintains infrastructure that fosters and supports development of effective relationships	3.25
This includes volunteer screening process, orientation, training and ongoing supervision and support by professional staff	3.09
Aug	3.1
Today Big Sisters serves over , girls in central Indiana	3.2
But for each girl served, more are left unserved	2.5
Imagine difference community could make if each congregation pledged its support of Big Sisters match!	3.9
It's hard enough for her to make good decemberisions when she is surrounded by support	2.88
Sincerely,	3.11
It's even harder when she is not	2.57
Big Sisters helps fill that void by matching caring, responsible adult volunteers with atrisk girls, ages	3.28
Dear Friend:	3.3
A Big Sister is mentor, friend and role model, helping young girl to develop selfconfidence and life skills necessary to become responsible, productive and successful adult	3.3
Adolescence	3.0
It is pivotal time in life of young girlwhen small changes in her behavior, or choices she makes, can affect her future	3.0
The results of month study completed by PublicPrivate Ventures showed that children participating in Big Sister and Big Brother matches for just year, reduced first time drug use by ; lowered school absenteeism by ; cut aggressive behavior by ; enhanced school performance; and improved relations with family and friends	3.2
A recent study by PublicPrivate Ventures PPV showed that girls who had Big Sister for just year:	3.0
reduced firsttime drug use by	3.7
lowered school absenteeism by	3.3
cut violent behavior by	3.2
The urgency you feel to make changes is just extent that change will be made	3.2
Aug	2.9
I have become more openminded, more responsible, and, most importantly, I have gained lot more selfconfidence	3.7
I am very thankful to Big Sisters program for allowing me this very special opportunity	4.0
In , Big Sisters served young people through its many programs	3.33
But need is still great	2.9
Over young people are still waiting for mentor	2.38
Do not sit this out	3.0
Will you make financial gift to Big Sisters in that will ensure that more young people receive guidance they need, that more young people stay in school, stay off drugs and make good choices?	3.0
Do not play it safe	2.83
Your contribution will be used to recruit and retain quality volunteers	3.5
Understand world and change it where it needs to be changed	3.29
This year your gift can go farther!	3.5
This fund will support goal of having mentoring relationships by end of and , by end of	3.2
If you would like to find out more about Big Sisters program, please call us, and ask for Ellen Robinson	3.0
